-0:10 | Nana☆: IKZ
21:58 | mintmiilk: :baguette_bread::baguette_bread::baguette_bread:
21:58 | keesh: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
21:58 | Yuliya Chen: :baguette_bread::baguette_bread::baguette_bread:
21:58 | 🌌Aster🌌: :blue_heart::purple_heart::blue_heart::purple_heart:
21:58 | yiyi: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
21:58 | ひとみHitomi: :baguette_bread::baguette_bread:
21:59 | 雷包三兄弟: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
21:59 | Arsen: :baguette_bread::baguette_bread::baguette_bread:
21:59 | Samandra: :elbowcough::elbowcough::elbowcough:
21:59 | Kankaru Inku: :baguette_bread::baguette_bread::baguette_bread:
21:59 | Arya1 Azurite: SLAYED 
21:59 | vezalius's corset: :elbowcough::elbowcough::elbowcough:
21:59 | FRIDAY20: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
21:59 | Blaze shygirl: Woooo:baguette_bread::baguette_bread::baguette_bread:
21:59 | Xīngyún: SOMEWHERE SOMEONE
22:00 | Hatsu: ALLEZ ZALI
22:00 | Julle: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:00 | iRenCross: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
22:00 | aisha ☆: ATE
22:00 | 秘色_hisoku: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:00 | mikapple: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:00 | Clownahh: :blue_heart::purple_heart:
22:00 | Yuuちゃん: :baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread::blue_heart:
22:01 | 雷包三兄弟: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:01 | Anonymous Dream: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:01 | JE: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart:
22:01 | shiba inu: :blue_heart::purple_heart::blue_heart::purple_heart:
22:01 | 渋い。♡: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:01 | Kei: :elbowcough::elbowcough::elbowcough:
22:01 | Orbital: :elbowcough::baguette_bread:
22:01 | shuuya: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:01 | corri: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:02 | Imuj: :elbowcough::elbowcough::elbowcough:
22:02 | Shadow: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:02 | もえそちゃん(moeso-chan): :baguette_bread::baguette_bread::baguette_bread:
22:02 | Emma_Kagamine: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:02 | OKei.OrSomething: TSKRTSRKRKR
22:02 | Lizzy: IM SCREAMING
22:02 | yiyi: :virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug:
22:02 | chaya levi: God sees allllll
22:02 | Yue Taishe Kuga: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:02 | Mind °•♡: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:03 | Miyuu_wuf: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:03 | オハナ[Ohana]: :baguette_bread::baguette_bread::baguette_bread:
22:03 | Zel Akushiro: :baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread:
22:03 | ☾ 𝓒𝓾𝓽𝓲𝓮 𝓟𝓲𝓮 𝓭𝓸𝓮𝔃 𝓖𝓐𝓒𝓗𝓐 ☽: sOmEwHeRe SoMeOnE
22:03 | Squartz85: :baguette_bread::croissant::baguette_bread::roll_of_paper:
22:03 | KIERAN☆: :purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
22:04 | Kuki P: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:04 | Lesley: :baguette_bread::baguette_bread::baguette_bread:
22:04 | あんず: :baguette_bread::baguette_bread::baguette_bread:
22:04 | Roku 禄: :blue_heart::purple_heart::blue_heart::purple_heart:
22:04 | 二一: :baguette_bread::baguette_bread::baguette_bread:
22:04 | mintybreeze: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:04 | bébé: :baguette_bread::baguette_bread::baguette_bread:
22:04 | FangXD: :fire::fire::fire::fire:
22:04 | Pickaboo: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:04 | milku: tskr!!
22:04 | paulina: :baguette_bread::baguette_bread::baguette_bread:
22:05 | Yutaya: WOOO GET IT! :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
22:05 | Violette: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:05 | Krystie: :elbowcough::elbowcough::elbowcough:
22:05 | aki: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:05 | Jill the Little Penguin: :baguette_bread::baguette_bread::baguette_bread:
22:05 | Vivy Ann: :baguette_bread::baguette_bread::baguette_bread:
22:05 | Olivia(ฅ´ω`ฅ): :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:05 | Biidaoo: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
22:06 | 梶村ゆゆゆ[YUYUYU]: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:06 | lovewave: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:06 | Rui: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::purple_heart:
22:06 | Nagisa: :baguette_bread::baguette_bread::baguette_bread:
22:07 | Arisu: :elbowcough::elbowcough::elbowcough:
22:07 | Comfort_Sans: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:07 | 홍시 HongSi: :elbowcough::elbowcough::elbowcough:
22:07 | 渋い。♡: SUCH A TEN TEN MOMENT
22:07 | Benilde: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:07 | Thea🌻: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:07 | clearbubble: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:08 | Purple_FrogZ: :elbowcough::elbowcough::elbowcough:
22:08 | Nielle Ong: :baguette_bread::baguette_bread::baguette_bread:
22:08 | blue ブルー: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:08 | Jasmine tea: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:08 | Arsen: :baguette_bread::baguette_bread::baguette_bread:
22:08 | Danger: :baguette_bread::baguette_bread::baguette_bread:
22:09 | Hatsu: T'ES INCROYABLE
22:09 | EyWhoえふ: :baguette_bread::baguette_bread::baguette_bread::baguette_bread: 
22:09 | 星降る夜: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:09 | matchaaa_luna: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:09 | June faiya: :baguette_bread::baguette_bread::baguette_bread:
22:09 | HueiChing: :baguette_bread::baguette_bread::baguette_bread:
22:09 | ari aryl: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:10 | BreadCrumbs: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:10 | 慧歆Comet: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:10 | anyway: :baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread:
22:10 | Hel Nah: :baguette_bread::baguette_bread::baguette_bread:
22:10 | Pearl O: :elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough:
22:10 | XI: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:10 | 雞蛋egg: :baguette_bread::baguette_bread::baguette_bread:
22:10 | akie: :elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread:
22:10 | Lemonade🍋: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:10 | LIAHO LISTRA: YOU ARE DOING SO GOOD
22:10 | shyflouf: :baguette_bread::baguette_bread::baguette_bread:
22:10 | Yiho Alcor: GO GO GO ZALIIII
22:11 | Cinna Locks: :elbowcough::elbowcough::elbowcough:
22:11 | kya: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:11 | Рина: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:11 | zie 🎭: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:11 | Kei: :baguette_bread::baguette_bread::baguette_bread:
22:11 | Comfort_Sans: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:11 |  your hope🥭🍌: :elbowcough::baguette_bread::elbowcough::baguette_bread:
22:11 | Meiven: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:12 | aki: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:12 | Complex Creon: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:12 | Hokiboshi ☄: GO ZALIIII
22:12 | agnes lim🦊: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:12 | Doritos cool ranch: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:13 | Yu: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:13 | Shinsei_Amartia: fokever
22:13 | simping for zali nom nom: :elbowcough::elbowcough::elbowcough::elbowcough:
22:13 | art bryan: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:13 | もえそちゃん(moeso-chan): :baguette_bread::baguette_bread::baguette_bread:
22:13 | Lei: :elbowcough::elbowcough::elbowcough:
22:13 | Comfort_Sans: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:13 | Yutaya: TEKW
22:13 | Goth Parappa: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:13 | Clara琛琛🖋️: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:14 | miloxo: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:14 | Otokiru: :baguette_bread::baguette_bread::baguette_bread:
22:14 | 亦星: :baguette_bread::baguette_bread::baguette_bread:
22:14 | Biidaoo: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart:
22:14 | ʚ sookuma!! ɞ: :baguette_bread::baguette_bread::baguette_bread:
22:14 | char: :baguette_bread::baguette_bread::roll_of_paper::roll_of_paper:
22:14 | Howdoichoosemyname?: :elbowcough::elbowcough::elbowcough::elbowcough:
22:14 | Eirlys(⁠ ⁠՞⁠ਊ⁠ ⁠՞ )🥭: lol
22:14 | Evi: :baguette_bread::baguette_bread::baguette_bread::croissant:
22:14 | Sylvena💕: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:14 | minianntoni: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:15 | Akiryu Vel: :baguette_bread::baguette_bread::baguette_bread:
22:15 | murr: HIS VOICE IS SO ANGELIC :virtualhug::virtualhug::virtualhug:
22:15 | Casper: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:15 | Zane, lol: These lyrics are so ass
22:15 | yuuka: :elbowcough::elbowcough::elbowcough:
22:15 | yejin🧧🧻: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:15 | pengi: :elbowcough::elbowcough::elbowcough:
22:15 | Shadow: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:15 | Brick: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:15 | Comfort_Sans: :elbowcough::elbowcough::elbowcough:
22:15 | Ivan Tan: HI IM SO LATE
22:15 | 均斗: :baguette_bread::baguette_bread::baguette_bread:
22:15 | Clownahh: :fire::fire::fire:
22:16 | shuuya: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:16 | Mai Nishida 🎸🌙: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:16 | aney: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:17 | kathy: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:17 | Yiho Alcor: GO GO ZALLIIIIIII
22:17 | MagnoKinetic Static: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:17 | Zel Akushiro: LMAO
22:17 | XI: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:17 | Kri: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:17 | Nana☆: :elbowcough::elbowcough::elbowcough::elbowcough:
22:17 | catpaws🐾 猫の足: :baguette_bread::baguette_bread::baguette_bread:
22:17 | Comfort_Sans: :elbowcough::elbowcough::elbowcough:
22:17 | 삐님: :baguette_bread::baguette_bread::baguette_bread:
22:18 | azi: HAHAHA CUTE
22:18 | OnePunchEgg: Lmao
22:18 | Biidaoo: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
22:18 | zenstta: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:18 | Lilly Hong: :virtualhug::virtualhug::virtualhug:
22:18 | zie 🎭: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:18 | Rin kazama: :baguette_bread::baguette_bread::baguette_bread:
22:18 | 水夏 Suika: :face_with_tears_of_joy::elbowcough::elbowcough::elbowcough::virtualhug:
22:18 | Zer: him*
22:18 | Esther Kwong: :baguette_bread::baguette_bread::baguette_bread:
22:18 | Maya: :blue_heart::purple_heart:
22:19 | glitter: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:19 | Benilde: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:19 | Ruruo: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:19 | Kei: sheeshh
22:19 | Unkodesu: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:19 | Arisu: :elbowcough::elbowcough::elbowcough:
22:19 | tokkie🎈: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:19 | Heizeru Chan: :orange_heart::red_heart::purple_heart::white_heart::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:20 | あちゃ: :elbowcough::elbowcough::elbowcough::elbowcough:
22:20 | Salvia: :baguette_bread::baguette_bread::baguette_bread:
22:20 | 蕭弘翊: Ok
22:20 | Tardy Fleetfoot 🐨: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:20 | Complex Creon: TEN TEN
22:20 | Kaufie: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:20 | bababa_Alice: :baguette_bread::baguette_bread::baguette_bread:
22:20 | 삐님: :baguette_bread::baguette_bread::baguette_bread:
22:20 | littleashcloud: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:20 | Comfort_Sans: :elbowcough::elbowcough::elbowcough:
22:20 | lovewave: :baguette_bread:
22:20 | ♡ Meowmoiselle ♡: :elbowcough::fire::elbowcough::fire::elbowcough:
22:20 | Nielle Ong: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:20 | FRIDAY20: :purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
22:20 | Upei-うぺぃ-: :baguette_bread::baguette_bread::baguette_bread:
22:21 | くーまー[ku-ma-]: :purple_heart::blue_heart::purple_heart::blue_heart:
22:21 | GnomeEngi: :baguette_bread::baguette_bread::baguette_bread:
22:21 | Yuuちゃん: :baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread::blue_heart:
22:21 | clearbubble: :baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread::blue_heart:
22:21 | 水夏 Suika: :virtualhug::virtualhug::virtualhug:
22:22 | spearbgom: :baguette_bread::baguette_bread::baguette_bread:
22:22 | 亦星: :baguette_bread::baguette_bread::baguette_bread:
22:22 | 小戒adrian: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:22 | Luna:3: OH YOU ARE MY GOD NOW:virtualhug:
22:22 | Zerryyy: :elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread:
22:22 | soonidonidori: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:22 | Iya: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:22 | HueiChing: :comet::comet::comet:
22:22 | guertena: :baguette_bread::baguette_bread::baguette_bread:
22:22 | CR: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:22 | 慧歆Comet: :purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
22:22 | Felicia: :baguette_bread::baguette_bread::baguette_bread:
22:22 | eden: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
22:22 | Zenthia T: :purple_heart::blue_heart::purple_heart:
22:22 | Avileshka (アビー): :baguette_bread::blue_heart::purple_heart::baguette_bread:
22:22 | YiChuan: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:22 | Malenda: :baguette_bread::baguette_bread::baguette_bread:
22:22 | Như Ý: :fire::fire::fire::fire:
22:22 | Kittykat: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:22 | Rei-san: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:22 | saki: LUVVV UUUUUU :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:23 | shrimp ☆: :elbowcough::elbowcough::elbowcough:
22:23 | ⭐Fabi_oWo⭐: :baguette_bread::baguette_bread::baguette_bread:
22:23 | Comfort_Sans: :elbowcough::elbowcough::elbowcough:
22:23 | 孤獨之櫻🌸: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:23 | Angela: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:23 | Rinka: :baguette_bread::baguette_bread::baguette_bread:
22:23 | --Jaycee--: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:23 | Clownahh: :elbowcough::elbowcough::elbowcough:
22:23 | TylerTA: WOOOOOOOOOOOOO
22:23 | Zoë van der Hor: :baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread:
22:23 | rayosmemokamikaze: :purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart::microphone::purple_heart:
22:23 | LuckYim: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:23 | Sullivan: :elbowcough::elbowcough:
22:23 | Kanozey: TSKR
22:24 | M G.-R.: :elbowcough::elbowcough::elbowcough:
22:24 | kyuaaa: :elbowcough::elbowcough::elbowcough::elbowcough:
22:24 | Lilly Hong: :elbowcough::elbowcough::elbowcough:
22:24 | Paula: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
22:24 | sandi ★: AHHHHHH :baguette_bread::baguette_bread::baguette_bread:
22:24 | Croakerz the Froagerz: UGH THE RUNS
22:24 | Nole__ノル: :baguette_bread::baguette_bread::baguette_bread:
22:24 | soft served: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:24 | corri: WOOOOO
22:24 | Sumii: I'M GONNA CRY OF JOY OMGG!!!:purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart:
22:24 | ReivenmoreArt: :baguette_bread::baguette_bread::baguette_bread:
22:25 | imfaaaaaayns👟: WOOOOOO
22:25 | Imup: :baguette_bread::baguette_bread::baguette_bread:
22:25 | Luna: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:25 | Naomura: :eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:
22:25 | ひとみHitomi: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:25 | milku: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:25 | 燈(アカリ): :baguette_bread::baguette_bread::baguette_bread:
22:25 | taifuun: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:25 | char: :virtualhug::virtualhug::virtualhug:
22:25 | Soruu: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:25 | Alexander .: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:26 | Jasmine tea: :baguette_bread:
22:26 | Biidaoo: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart:
22:26 | ジーナ: :purple_heart::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::blue_heart:
22:26 | Autumn: :baguette_bread::baguette_bread::baguette_bread:
22:26 | Purple_FrogZ: AWWWWW
22:26 | HueiChing: :comet::comet::comet::comet::comet:
22:26 | ぽんぽ本舗: :blue_heart::purple_heart::blue_heart::purple_heart:
22:26 | jayiithecarrot: IN YOUR HEART
22:26 | FangXD: OML HIS VOICE
22:26 | mrshhmllow[pie]: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:26 | Pearl O: :elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough::baguette_bread::elbowcough:
22:27 | Celine: :elbowcough::elbowcough::virtualhug:
22:27 | Kei: vocals
22:27 | yiyi: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:27 | Danger: :baguette_bread::baguette_bread::baguette_bread:
22:27 | Yuino Rui: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:27 | Bored person online: TSKRRRRR
22:28 | 暁山瑞希絕緣體: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:28 | art bryan: in your time
22:28 | Mai Nishida 🎸🌙: GOOOOOOO
22:28 | Croakerz the Froagerz: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:28 | forg: :elbowcough::elbowcough::elbowcough:
22:28 | han: :baguette_bread::baguette_bread::baguette_bread:
22:28 | Jasuna_shizui: :baguette_bread::baguette_bread::baguette_bread:
22:28 | aney: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:28 | RA RA: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:28 | Mistyyy: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:28 | tomi🧻: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:29 | ʚ sookuma!! ɞ: YEAAAAA
22:29 | Dinaa: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:29 | Ylaijah: IN YOUR HEARTT
22:29 | Shadow 47: :elbowcough::elbowcough::elbowcough:
22:29 | Celeste MPG: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:29 | Mind °•♡: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:29 | kitri: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:29 | Tardy Fleetfoot 🐨: in your heart
22:29 | Yuri: WOOOOO
22:29 | yumekisa: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:29 | Như Ý: :fire::baguette_bread::fire::baguette_bread::fire::baguette_bread::fire:
22:30 | aisha ☆: WOAH THE WAY HE SAID LIGHT
22:30 | Amelia 909: TSKRRRRR
22:30 | paula: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:30 | blooming rose: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
22:30 | yushin: WOOOOOOO
22:30 | 水夏 Suika: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:30 | Villus: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:30 | Camily☆ カミリ: :elbowcough::elbowcough::elbowcough::elbowcough:
22:30 | Lemonade🍋: :elbowcough::baguette_bread::elbowcough::baguette_bread:
22:30 | Clownahh: :face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:
22:30 | Kyoura🃏🔪: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:30 | nur lyana: :purple_heart::blue_heart::purple_heart::blue_heart:
22:30 | Elina: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:30 | Small AnnA_アンナ: :virtualhug::virtualhug::virtualhug:
22:30 | 雷包三兄弟: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:30 | nerurA: :baguette_bread::baguette_bread::baguette_bread:
22:30 | Xīngyún: WOOOOOOO
22:30 | char: :baguette_bread::baguette_bread::baguette_bread:
22:30 | mrshhmllow[pie]: TSKR
22:31 | Squartz85: :baguette_bread::croissant::baguette_bread::roll_of_paper:
22:31 | XI: WOOOOOO
22:31 | ダークナイター // Darknighter : :purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart::baguette_bread::blue_heart::baguette_bread::purple_heart:
22:31 | ★ lily: WE'RE ETHYRIA YUH
22:31 | marshmallow kitty: WE’RE ETHYRIA YEAH!!
22:31 | Samandra: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
22:31 | Mari: :baguette_bread::baguette_bread::baguette_bread::baguette_bread:
