-0:32 | こなぐすり: やしきずの悲鳴が聴こえる……(幻聴)
12:57 | アットホーム改: 上がったらまずいみたいな
12:57 | こんぱる: 上がっていいじゃん
12:57 | ルゥ・ディクラス: それはギリギリそう
12:58 | シャア専用赤いきつね: 上がってええやろ！！
12:58 | ツナンジュ: 上がってくれ
12:59 | 姿無きモブ: やしきず怒らないで
12:59 | (Member (6 months)) 茉名.まな.: :skull::_scared:
12:59 | takasou: 上がってくれよ
12:59 | テイラ: 上がってくれ
13:00 | 現: 先生負けちゃう、、、
13:00 | emma: 恐ろしすぎる
13:00 | ジョー: あがってしまうのでｗ
13:01 | なつのみかん: 肉野菜炒めになったら社の勝ちでもう良くね‥‥？？
13:01 | はすの: 自立が怖い
13:01 | あしゅ: あがってしまえ
13:02 | ドラゴン: 上がってしまう
13:02 | Taison: むしろ上がってくれｗ
13:02 | poyo: 上がっていいやろがい
13:02 | アーク: 上げろよ！！
13:03 | (Member (2 months)) ハントヴィクター: むしろ上げてくれ
13:03 | maso: いや、上げてくれよ
13:04 | 溶解人間ゲル: 自立（暴走）
13:04 | babicas: 今までコメントありで料理してなにも成長してないだろ
13:05 | うなぎたると: アゲアゲ
13:05 | ブレブレ01: （上がったら）いかんのか？
13:06 | アア: 立派だあ
13:06 | 人生.: 頼むから上がってくれ…
13:08 | みやび: 聞こえはいいな
13:08 | 雪丸: 上がってしまうw
13:08 | すず: キャベツじゃなくて白菜かも…
13:09 | Lightning o‐zyan: 上がるのか…
13:09 | きゅうり。: 取れ高失うから
13:09 | 真昼: これ第二弾すらあるかもね…
13:10 | あるままるま: 読めなかったからフライパンじゃなく鍋なんだな
13:10 | よわぴー: あがってほしい
13:11 | 明太子: キャベツはあってくれ
13:11 | 霧谷きりり: 神回になりそう(色んな意味で)
13:12 | 睡眠ガチ勢: もうダメかもしれない
13:14 | るい: 最初から絶望しかないが
13:16 | seiichirou: ここがわからない
13:16 | ソーマ: やばい女を相手させると右に出る者はいない　やしきず
13:16 | たべのこし: ほんとに？
13:16 | ひやかけうどん: たれが作れたら後は火が通れば問題ない
13:17 | このはずく: 重たすぎる責任
13:17 | こらふ: 睡眠時間の問題なのか…
13:17 | cecil GX: 底上げ必要だろ
13:18 | 37.0℃: 大丈夫(?)
13:19 | うしへこあおりんご: 上げてくれ
13:19 | k I: 肉野菜炒めでいい・・・
13:19 | わべ: ここ理不尽
13:19 | サヤ: こわい……
13:19 | Takaya Kuroda: 日本人なら味噌はあるだろう
13:21 | まぐ: 草
13:21 | (Member (1 month)) ちゃこぺん: いつも寝てないみたいにｗ
13:21 | (New member) フヨウ: 記憶力（すぐ忘れる
13:21 | かりんとう: ドンマイ
13:21 | ヒロノシ (VTuber切り抜き): lol
13:22 | 蒟蒻: ふざけたルール
13:22 | レモン煮: 先生の責任ｗ
13:22 | ラビラビ: 草
13:22 | 生どぜう: 上がったらおもんなくなるからそのままでおってくれ
13:22 | 白依しろ: 草
13:23 | テイラ: 先生の全責任
13:23 | naoya: 草
13:23 | M O: ん？
13:23 | bookmarks.: 睡眠の重要性
13:23 | こなぐすり: 草
13:23 | (Member (6 months)) kitsune きつねまいにち: 寝ててえらい:_patpat:
13:23 | Taku N.: 責任が重い
13:24 | 藤井まほ: 草
13:24 | ガトリング斎: 責任でけ～
13:24 | ribot: 醬あればいいなあ
13:24 | Jun: すべての先生の責任
13:25 | 日暮夕: ん？
13:25 | 源光政: ふ　ざ　け　た　ル　ー　ル
13:25 | はまなす: なんでメモ縛るんだ………？
13:25 | maho m: ふざけたルールw
13:25 | てるる: そう、やしきずの責任
13:25 | りきゅう: 草
13:25 | 鳶坂: ふざけたｗｗｗｗ
13:25 | Beijing: 草
13:25 | 花てん: 回鍋肉なら適当に野菜を切っても良いしね
13:26 | ユウスケ: 草
13:26 | 環: 睡眠は大事だよね
13:26 | (Member (6 months)) 茉名.まな.: :_laugh::_laugh::_laugh:
13:26 | ヴァイツェッカー: やしきず耐えられるか・・・
13:26 | meta: 理不尽ルール
13:27 | (Member (2 months)) 犬笛にむせび泣く男スナハラーマッ: 不平等すぎるルール
13:27 | 数字の1: こわいよ
13:28 | ぞひ(jonias): 草
13:28 | (Member (1 month)) ソラ: ふざけたルール()
13:28 | (Member (6 months)) ひらり: （？）
13:30 | トゥルル・スター: ここのルールほんとひどいｗｗｗ
13:30 | hqr: 草
13:30 | ぺらぴす: 何もかも無責任だ
13:30 | (Member (2 months)) ポジヘメ: 相変わらず狂ったルール
13:30 | 緋色の漣: 1.1万人に増えたな
13:30 | わっしー: 何だこのクソゲー！？
13:31 | 歌うのオタク-The Singing Otaku: ?
13:32 | ネコモドキ: 勝ちとは
13:32 | 望月朔: 地獄へようこそ
13:32 | 東京ねこねこサッカー部: 分量の問題じゃない
13:32 | ho hou: 勝ち負けってなんだ…？
13:32 | ハンバーグ師匠: 勝ち？？？
13:33 | あお: ミスは先生の責任とかいう毒素条項
13:33 | JUNICHI DISCO: 炒めるだけだぞ
13:33 | (Member (6 months)) リウ: ふざけたルールw
13:33 | seiichirou: 配信者の負け
13:33 | ジョー: 勝ちｗ
13:34 | ガゼル: 勝ちとは…
13:34 | ドナルド: コック帽やしきず可愛い
13:35 | Cosmo Nova: 勝ち？
13:35 | たぬきそば: 失敗したらどっちも敗けやろ
13:35 | (New member) 竈門しまじろう: 草
13:35 | こい: 失敗したら勝ちとは一体
13:35 | (Member (1 month)) ヴエロエルコ: ふざけたルール→その通り
13:35 | 働け蟻: ふざけたルールw
13:35 | オレオ: 勝ち負けってなんだよ
13:35 | ほっけぽっけ: 勝ちとは
13:36 | やなゆはわ: 草
13:36 | 現: もう負けだよ
13:37 | KICKS: ？？？
13:37 | 蒟蒻: 失敗しに行ってるじゃねーかよ！
13:38 | やなゆはわ: 草
13:40 | スゥスゥ: 失敗したら勝者はいない
13:40 | くじら72号: 何分でブロリーになるだろう
13:40 | みちる: こっわ
13:40 | ドデン三式: 失敗したら勝ち？？？
13:40 | きゅうり。: 負けたいよねえ
13:41 | sonic soe: hello everyone is me sonic the hedgehog
13:41 | てるる: そうそう
13:41 | zakky: ふざけたルールｗｗｗ
13:41 | ワチひろみ: 責任重すぎじゃないですかね‥
13:41 | 遼歌: w
13:42 | (Member (6 months)) celine lin: :_laugh::_laugh::_laugh:
13:42 | godflower: 失態ｗ
13:42 | HEROIC SPORE: 勝者はいない
13:43 | (Member (6 months)) スキマラム: :_laugh::_laugh::_laugh:
13:43 | かりんとう: 甜麺醤もなさそう
13:43 | あく子_Akukooo: lol
13:43 | アオガミソウヤ: コメント欄から既に不穏だけど大丈夫なんです？
13:43 | おはぎ: 全員の敗北だよ…
13:43 | サイキックリフレクター𓅹: 草
13:44 | やなゆはわ: 草
13:45 | ほっけぽっけ: りっくん！
13:45 | Kom Yam: 敗因：漢字で伝えたこと・・・になるかもなｗ　回鍋肉（ホイコーロー）
13:45 | べれしゅ: 不平等ｗ
13:45 | ぼたもっちん: 草
13:46 | あゆかわ ayukawa: 草
13:46 | 姿無きモブ: 鍋…
13:46 | Michael Syu (廣志) : 草
13:47 | maboo: もう終わりだぁ！
13:47 | (Member (2 months)) anskin: :_cheer::_cheer:
13:47 | aya: 覚悟
13:48 | milky: 義務教育の負けやら
13:48 | Kei: 草
13:48 | karasu858: 責任転嫁や！
13:49 | 柏戸ちまき: ひどいルールだw
13:49 | Cosmo Nova: クソゲーじゃないか
13:50 | Werner.: 鍋〜〜〜〜
13:52 | masa jankey: やしきず勝てないやんけ
13:52 | tsubo tsubo: なるほどね？（圧）
13:52 | たべのこし: 覚悟はいいか俺はできてない
13:52 | ミッドアイランド: 失敗は勝者いなくて草
13:53 | まぐ: 草
13:53 | 苗字名前: そのりっくんは何だよ
13:53 | ヴァイツェッカー: 社ォ！！なんとかしろぉ！！
13:53 | 源光政: 草
13:53 | mokonta: 既に負けてない？
13:53 | ぬめ: 草
13:53 | がま口マニア: ノーリスク
13:53 | Cyphia: 覚悟ｗ
13:54 | やなゆはわ: 草
13:54 | ノーレイ: ひどいルールだ
13:54 | (New member) 竈門しまじろう: 無敵
13:54 | CG echo: ことか大丈夫か？
13:54 | てるる: 責任とってね♡
13:54 | Sussy: 負け戦ｗ
13:55 | babicas: 無敵の人
13:55 | (Member (2 months)) 芋猫: :_laugh::_laugh::_laugh:
13:55 | no name: 草
13:55 | オデ: まぁね‥ヤシキズなら…
13:55 | (Member (6 months)) スキマラム: 最強かw
13:55 | なる猫: 負けはない
13:55 | naoya: 草
13:55 | 雪丸: いい反応しそうだなやしろw
13:55 | カンパイ: 草
13:56 | テイラ: コトカの負けが無いんだよなこれ
13:56 | Taison: 絶対に負けない試合ｗ
13:56 | 唐揚げ食べたい: 覚悟とはッ！
13:56 | ぱらいそ: 常勝
13:56 | 明太子: えへへ
13:56 | seiichirou: 敗残兵
13:56 | ぽんぷ: 草
13:56 | inazyo: ない！
13:56 | Lightning o‐zyan: 全てがやしきず責任と
13:57 | 澪央: 負け戦wwww
13:57 | a m: 草
13:58 | (Member (2 months)) ハントヴィクター: 自　分　に　甘　い
13:58 | いとち: やしきずたのむぞ
13:58 | Arlisty: りっくんもよく見とる
13:58 | hitagi h: キューピーは三分でいけてるから標準ルール
13:59 | しゅノめ: 草
13:59 | Takaya Kuroda: 中華料理の時点で負けかも
13:59 | (New member) 𝑳𝒐𝒓𝒐𝒔𝒊𝒖𝒔: :_banana:ooh she cookin' again!
14:00 | 成瀬結弦: 負け戦なし！ヨシ！！
14:00 | トキワ: アッ
14:00 | 白玉: 生徒の失敗は先生の失敗！！！
14:00 | Linone: コトカつっよ
14:00 | み: 常勝無敗
14:00 | うも: 最強かよ
14:01 | シフ: これ生徒側に不利がないんよな、、、、
14:01 | あぶりかぶり: ふざけたルール
14:01 | 時蕎麦: コトカ無敗か
14:01 | やなゆはわ: 草
14:01 | H.H.: 「ない、っすね…」
14:01 | monokuro0cr: 自分というコンテンツを理解している
14:01 | ドナルド: 田角こっちみてるwwww
14:01 | もとこ: 立海大
14:02 | るい: 料理って覚悟いるのか
14:02 | karasu858: 最強！！！！
14:02 | 秋人: このゲームには必勝法がある
14:03 | みるめーく: 常勝無敗　完全勝利
14:03 | ブレブレ01: 常勝無敗
14:03 | (New member) ぐちお: ｗｗｗｗ
14:03 | ジンベエザメ: ノーリスクゲーム
14:03 | かりんとう: フライパンじゃなくて鍋の時点で負けだぞ
14:04 | かぼす: ぶっ壊れルール草
14:04 | クレックkurekku: 負けを知らぬ
14:04 | 森の傭兵: 無敵か？
14:04 | やなゆはわ: 草
14:04 | (New member) フヨウ: 「美味しいから成功！」
14:05 | のあ: 草
14:05 | きゅうり。: 東方無敗
14:05 | 地底人: 敗北を知りたい
14:06 | ソーマ: 葉野菜があるかどうか
14:06 | ny: なにわろ
14:06 | 才華: 先生の負け戦か
14:06 | Jin babwe: 腐敗の魔術師
14:06 | (Member (6 months)) celine lin: :_cheer::_cheer::_cheer:
14:06 | 楓シオン: 常勝！立海！！！
14:07 | 望月朔: この先生は厳しいぞ
14:07 | 白坂つづら: 常勝無敗完全勝利
14:07 | Estuary: 先生と生徒が敵対してるのがまずおかしいんだよな
14:07 | selam _: 教育の時間だ
14:08 | Black Ball: 敗北を知りたい…
14:08 | さいはて: 赤点取ったら生徒の勝ち理論
14:08 | モッチーニ: 草
14:08 | たべのこし: 草
14:08 | 藤井まほ: りっくん少し汚れてないか？
14:08 | taku: ルールを触れる奴が強い
14:08 | 松本拓也: 常勝無敗
14:08 | 現: 無理ゲー
14:08 | ノッカー: 闇のゲームや
14:09 | (New member) ぐちお: 草
14:09 | sazi ite: 勝利者などいない
14:09 | Denise Yang: 負け確ｗｗ
14:10 | 睡眠ガチ勢: やしきず落ち着け
14:10 | ハマチ: 闇のゲームw
14:10 | ヤス: 常勝無敗
14:10 | (Member (6 months)) DoJ: 鷹宮には負けたじゃん
14:10 | (New member) ラビちゃん: また勝利してしまった
14:11 | (New member) 竈門しまじろう: 遺言
14:11 | (New member) へんでしかない。ただのひとでなしだ: 勝負にすらなってねえｗ
14:11 | がま口マニア: 遺言…？
14:11 | (New member) ぐちお: 有利
14:11 | かるぼん: 故意じゃない失敗て怖いよね
14:11 | barance: 何度見てもとんでもねえルールで笑う
14:12 | 六五三: なんか踏み絵みてえ
14:12 | 釈迦太郎: ルール決める側が最強
14:12 | tomoしー: 辞世の句ｗ
14:12 | (Member (1 month)) Temari テマリ: 常勝無敗の虎姫
14:13 | ポルンガ: りっくん！？
14:13 | (Member (6 months)) 茉名.まな.: :_cheftoka::_cheftoka::_cheftoka:
14:13 | 30 cm: リッくん 草
14:13 | はすの: 材料何にしたんだろなぁ
14:13 | こうちゃまる: 遺言？
14:13 | 小林壯太朗: 遺言？
14:13 | 横唐横尾: クソゲーにありがち
14:13 | 東京ねこねこサッカー部: クソコメント言うナw
14:13 | godflower: 草
14:14 | mob: クッキング摩虎羅
14:14 | こらふ: クソコメント呼ばわり
14:14 | ゆめ: 草
14:14 | 10kiti じゅーきち: 遺言？
14:14 | Lightning o‐zyan: く◯コメントｗｗ
14:14 | てるる: 神に祈れ！
14:14 | babicas: 遺言だぞ
14:14 | KEIYA M: 遺言？ｗ
14:14 | 麦チョコ: 草
14:14 | なすな: 死ぬかも〜
14:15 | ba mi: そうだぞ
14:15 | はるりあ: ｗ
14:15 | わっしー: 遺言聞いとくか
14:15 | kou: ちゃんとクソゲーで草
14:15 | aya: 遺言をどうぞ
14:15 | べれしゅ: 生きて
14:15 | なる猫: あ・・・
14:16 | アオガミソウヤ: 言い残したこと！？
14:16 | くさ: 死ぬのか…
14:16 | しゃわ: 草
14:16 | 源光政: 草
14:16 | Linone: 言い残したことww
14:16 | 柏戸ちまき: 言い残したことw
14:16 | 雨粒: 言い残したことｗ
14:16 | cecil GX: 遺言ｗ
14:16 | わっきー: 最後の言葉
14:16 | わべ: 4ぬよ間違いなく
14:16 | Taku N.: 辞世の句ｗ
14:16 | 白玉: 遺言を…
14:16 | レトロゲーム好き: 遺言求めてて草
14:16 | メルト: 草
14:17 | 藤井まほ: お、おん。
14:17 | rakugaki 07: 遺言を
14:17 | しー[si:]: 死ぬのか・・・
14:17 | 手島つかさ: やしきず敗北確定
14:17 | dekarucha: 草
14:17 | A_84 Ayashi: any last word wwwwwwww
14:17 | 迷夢: 遺言ww
14:17 | 青の: 常勝無敗…物は言いようだなぁｗ
14:17 | Ayaomi: WWWWWWWWW
14:17 | ヴァイツェッカー: 場合によっては死にます（
14:18 | Yuka: 草
14:18 | カンパイ: 言い残したことw
14:18 | karasu858: ｗｗｗｗ
14:18 | 椎名久遠: 多分それに近いことにはなる・・・
14:19 | サイキックリフレクター𓅹: 遺言ｗ
14:19 | Lightning o‐zyan: 遺言ｗｗｗ
14:19 | land200j: 戦いに疲れ果て
14:19 | 文月葉月: 死ぬかもしれない
14:20 | Sao: やっぱ死ぬのかw
14:20 | ハマチ: 遺言！？
14:20 | まんまる: ハイクを読め
14:20 | るあ: 言い方よww
14:20 | りよう: 常勝の大エースコトカ
14:21 | わらび餅もち粉: 遺言
14:21 | カルパス: 遺言
14:21 | 冊芋: しなないで
14:21 | こんぱる: 言い残したことw
14:21 | こなぐすり: 言い遺したww
14:21 | タコンペン: やしきず生きて
14:21 | C B: 失敗だと認めなければ失敗ではない！！！
14:21 | 時蕎麦: 言い残したことw
14:22 | 月神マイ: 多分しぬけどな
14:22 | 姿無きモブ: おあがりよ
14:23 | ハマチ: 言い残したこと草
14:23 | 数字の1: ハイク？？？
14:23 | (Member (1 month)) chinomisa: 遺言求めないでww
14:23 | 富士介: 遺言をどうぞ
14:23 | リュウ ch: せめて食材くらいは先にきめさせてくれ・・・・
14:23 | ゆるぞう: 遺言定期
14:24 | ガトリング斎: 生贄に捧げられる？
14:24 | 青馬: 俳句を読め
14:25 | かもめが飛ぶ街: 精神的にな…
14:25 | 唐揚げ食べたい: 覚悟の準備をしておいてください！
14:25 | CG echo: 精神的に死ぬと思う
14:25 | アテン: 遺言w
14:25 | (New member) へんでしかない。ただのひとでなしだ: 血圧上がりすぎて死ぬかもしれない
14:25 | ジャック: 負けイベントやないか
14:25 | 働け蟻: 先生のみリスク
14:25 | (Member (6 months)) 茉名.まな.: しぬよ！？
14:25 | HeLa: やしきずが食うんだよ
14:25 | わっしー: それが最後の彼の言葉だった…
14:26 | old style: こんなグッズどこで売ってんだよｗｗ
14:26 | ニヤ: 毎度だけど言い残したこと本当笑う
14:26 | SEN KANE: 闇のゲームかな？
14:26 | 白坂つづら: 遺言ｗ
14:26 | ガゼル: 叫びすぎてタヒぬかもしれない
14:27 | 三毛ランジェロ: 遺言？
14:27 | おきな: 言い残したことｗ
14:27 | おりじんみ: 胃が爆散する未来が見える見える
14:27 | 碧: 血管切れるよ多分
14:27 | Mk-2: 遺言？
14:27 | えとけん先生: 憤死するかも
14:27 | やなゆはわ: 遺言をどうぞ
14:27 | 切[せつ]: 負け確だからまぁ死ぬ
14:27 | かぼす: やしきず…胃薬はあるか…？
14:27 | 榎壱号機: ハイクを詠め！！！！
14:28 | D RF: ある意味ね
14:28 | 麦チョコ: #社生きろ
14:28 | うらったらー: 場合によっては血管が
14:28 | うんぬん亭: 社……死ぬのか？
14:28 | ひこうタイプのぺんぎん。: りっくんの上にIH
14:29 | 無理!!!!: もう怖いぜ
14:29 | ここまるﾃｧ: #社生きろ
14:29 | 熊工廠: グロ画像の可能性がある
14:30 | (Member (6 months)) kitsune きつねまいにち: 本日の材料:_cheer:
14:30 | Jin babwe: 10点取られても11点取れば勝ち
14:30 | お休みライオン: お願い、死なないでやしきず！
14:31 | KICKS: 緊張してて草
14:31 | (Member (2 months)) anskin: :_cheer::_cheer::_kforkotoka::_oforkotoka::_tforkotoka::_oforkotoka:
14:31 | (New member) 一点 さん: 負けイベ確定！？
14:32 | Werner.: 強力粉
14:32 | キウイ: 遺言､､､､
14:33 | やまてん: 助けてマリオ
14:33 | 時蕎麦: ほんとかなあw
14:33 | プリン: 胃が爆発してしまうかもしれん
14:34 | いなり: 社さん
14:34 | 調理忍焼き芋: 火事は起こさないでぐらい言っとけ
14:35 | 横唐横尾: 気をしっかり
14:35 | ヴァイツェッカー: リオンとかガチで死にかけたで（
14:35 | (Member (2 months)) 飯寿司: :_cheftoka::_cheftoka::_cheftoka:
14:35 | ZIG: （頼むぞ…）
14:36 | Denise Yang: IHコンセント指してない？
14:36 | K097: ストレスで脳出血起こして●ぬかも？
14:37 | babicas: まだワンチャンこの鍋をフライパン代わりにすると思ってそうなやしきず
14:37 | eはりねずみのハヤマ: エミヤじゃん
14:38 | 海月: まぁある意味…
14:38 | 花てん: 料理を教えてしぬとか無いよね
14:38 | 橘 都奈[ﾀﾁﾊﾞﾅ ﾐﾔﾅ]: 息が出来るといいな
14:39 | (Member (2 months)) 犬笛にむせび泣く男スナハラーマッ: ド緊張
14:39 | テイラ: 大前提見せてもらおうか
14:40 | CG echo: 遺言になるぞ
14:42 | かずまやがみ: かい？
14:42 | Arlisty: 「俺は不死身のやしきずだ！」
14:42 | 鬼灯: 草
14:42 | zen: 考えたww
14:43 | k I: かい？
14:43 | zakky: してるなぁ…
14:44 | ヴァイツェッカー: ？？？
14:44 | 白玉: 終わった……
14:44 | 鳶坂: あっ
14:44 | 2sweet Alpha: かい…？
14:44 | すさびわざ: こんばんはー
14:45 | †ミクタ: あっ…
14:45 | 源光政: ！？
14:45 | こなぐすり: #社生きろ
14:45 | 秋人: 回（かい）
14:45 | わらび餅もち粉: かい？
14:45 | がま口マニア: え？
14:46 | ウクレ: かい・・・
14:46 | nickel: は？
14:46 | つ。: かい…では…ない……
14:46 | トゥルル・スター: あっ・・・・
14:46 | こおりすく: は？
14:46 | taku: かい、かあ…
14:46 | maboo: 嫌な予感
14:46 | さえ(Sae): え
14:46 | くじら72号: 考えた・・・？
14:46 | あ、とってもマイルド: かい？
14:47 | (New member) 竈門しまじろう: 草
14:47 | 熊工廠: かい……
14:47 | てぃん: ？？？？？？
14:47 | 蒟蒻: は？？？？
14:47 | ぺらぴす: ？
14:47 | にゆにゆにゆにゆ: 回
14:47 | NA NA: 海鮮丼
14:47 | こらふ: ？？？
14:47 | 麦チョコ: ！？
14:47 | (Member (6 months)) kitsune きつねまいにち: わっ
14:47 | ba mi: え？
14:48 | くさ: ん？
14:48 | わべ: 終わりやね
14:48 | KICKS: あ？
14:48 | Tanred: ！？
14:48 | ゆーここ: ん？
14:48 | いけだなか: あっ
14:48 | ジジ猫: あ、
14:48 | まぐ: 海鮮丼？
14:48 | べれしゅ: ん
14:48 | Sussy: 海鮮丼ｗ
14:48 | meta: 回？
14:48 | はうはう: ほう
14:48 | godflower: かい？
14:48 | ハチ公閣下: え
14:48 | 10kiti じゅーきち: ？
14:48 | ちゃま: なるほど？
14:48 | はすの: 海鮮だと
14:48 | たま: 草
14:48 | *ゆうき: ？
14:49 | るぅ: www
14:49 | うも: 草
14:49 | こうちゃまる: え
14:49 | k I: は？
14:49 | じーべ: ？？
14:49 | ステファノ: ？？？？
14:49 | やなゆはわ: 遺言をどうぞ
14:49 | karasu858: 力を抜け・・・
14:49 | 地底人: 甲斐田の姿焼き
14:49 | Ta ku_: ？？？？？
14:49 | かるぼん: かい？
14:49 | Lightning o‐zyan: ダメだこりゃ
14:49 | KEIYA M: は？
14:50 | なすな: お……っと
14:50 | ものさし: なるほど
14:50 | 37.0℃: あー終わったwwww
14:50 | キウイ: 終わった､､､､
14:50 | Jun: はい
14:50 | (Member (6 months)) 人野: あっ
14:50 | babicas: なるほど・・・
14:50 | 天山: おっと？
14:50 | あく子_Akukooo: huh
14:50 | 無理!!!!: は？？？
14:50 | (Member (6 months)) ゴウ Ka Ho Wong: ん？
14:50 | ribot: ん？
14:50 | (Member (2 months)) チャリ: おわった
14:50 | 蓬莱来訪: ん？
14:50 | こい: え？
14:50 | hitagi h: 何かしらの野菜と肉で勝てる
14:50 | ポラリス: アカン
14:51 | おきな: ん！？
14:51 | 成瀬結弦: あっ！
14:52 | おりじんみ: あっ
14:52 | とかげ3号: 甲斐田晴？
14:52 | いつまで: ？
14:52 | たおる: ん？
14:52 | 人生.: ？？？
14:52 | 鯖カーン: ？
14:52 | (New member) フヨウ: そうきたかぁ〜！
14:52 | ザキ: ん？
14:52 | るい: 調べろよｗｗｗｗｗ
14:52 | ZIG: ｯｽｩｰｰｰｰｰｰｰ
14:52 | Jippa: 字が違うのですが・・・
14:52 | かぼす: ( '-' )…ｯｽｰ
14:52 | 日暮夕: ん？
14:52 | 紅の織紙: ん？
14:53 | C B: 流石にGODの前だと緊張してるか
14:53 | やなゆはわ: 遺言をどうぞ
14:53 | アシスP: もうアカンｗｗｗｗ
14:53 | しゃわ: なるほど・・・(
14:53 | うんぬん亭: 真逆じゃねぇか
14:53 | ゆるぞう: え
14:54 | ぱらいそ: 終わった
14:54 | 鹿島しま。: 終わったかも
14:54 | うみねこ: あっ
14:54 | まっしろ: うん？
14:54 | うめ。: 草
14:54 | さえ(Sae): おわった
14:54 | shin: ん？
14:55 | じょば: は？
14:55 | ブレブレ01: ？！
14:55 | ゆき: 終わった…
14:56 | ノート10: あ、、、、、、、、、、、
14:56 | カンパイ: まずい
14:56 | あおさぎ: なるほど
14:56 | 結城: あっ、、ッスー
14:56 | Takanori.T: そもそもほいこーろーじゃなかった
14:56 | zen: ん？鍋も肉も消えた？
14:56 | Werner.: んんん！
14:56 | 黒井白虎(Kuroi Byakko): 草
14:56 | よわぴー: 海鮮丼？
14:56 | タワシヘッド: すでにアカン
14:57 | Ruru515: 終わりや
14:57 | スゥスゥ: お
14:57 | 櫻井ゆき: ？
14:57 | a i: 終わった
14:57 | ポムポムペイン: まさか読めなかった…？
14:57 | 横唐横尾: 全てイメージ
14:57 | 朝飯屋: 回鍋肉みたことないかあ
14:58 | bookmarks.: 終わった
14:58 | (New member) 竈門しまじろう: 魚　肉
14:58 | 藤井まほ: おお！
14:58 | Aomori Garlic: なるほど（絶望）
14:58 | わっしー: もうダメそう
14:58 | Baron: 海鮮丼？
14:58 | ナスカ: あっ……
14:58 | レトロゲーム好き: おわったｗ
14:58 | 現: あ
14:58 | カラフルドーナツ: うん
14:58 | あかあか: ？？
14:58 | a m: う〜〜〜〜〜ん？？？
14:58 | catnap: 終わったわ
14:59 | もうりゆうこ: 回…
14:59 | kitagawa147: おわった
14:59 | 明太子: 飲み込んだな言葉wwwww
14:59 | 苗字名前: そこから！？
14:59 | なすな: 回鍋肉読めない、か
14:59 | 古古米: もうだめそう
14:59 | くーまー[ku-ma-]: え
14:59 | ドデン三式: ？
15:00 | ハチ公閣下: そこからか
15:00 | ほっけぽっけ: なるほど？
15:00 | かもめが飛ぶ街: ん
15:00 | 萃-kaname-: ？？？
15:00 | Kingxe: ほいこーろ？
15:00 | ねここねこ: え？まじか。
15:00 | サヤ: 終わり
15:00 | めーぷる: ？？？
15:00 | (New member) ぐちお: 回
15:00 | ニュイーンセイロン: 回線丼
15:01 | いおなずん!!: なるほど…の絶望感すごい
15:01 | ONE Z: THE END
15:01 | 林靈: は?
15:01 | 睡眠ガチ勢: そこから
15:01 | 雪丸: 回…
15:01 | 鬼灯: どきどき
15:02 | はちみー: 海鮮丼かぁ....
15:02 | ノート10: ああ、、、、あ、、あ、
15:02 | スノウ: 社さんの「はい」が小さくなったな
15:03 | ドナルド: ん？
15:03 | (New member) ラビちゃん: 負けたことないですから
15:03 | クロウ: ???
15:03 | hqr: あ
15:03 | まんまる: もう終わった臭い
15:04 | Beijing: 終了か？
15:04 | こい: 読み方すら調べないのか…
15:05 | るぅ: あー...
15:05 | Demple: あっ
15:05 | (New member) ぐちお: ああ....
15:05 | おきな: 魚肉・・・？
15:06 | ba mi: しゅうりょうでーす
15:06 | ドイツ軍大佐: ？？？？
15:07 | 椎名久遠: もう終わりです、この料理
15:07 | トーストエム: えっ
15:07 | ヴァイツェッカー: あーほいこーろー！？
15:07 | 紅の織紙: 回なのに海と？
15:07 | ここまるﾃｧ: oh......
15:07 | D RF: 終わったわ
15:07 | きたなくねぇ花火: 魚介はやばそう
15:07 | ガトリング斎: これ日本語じゃないんですよ…
15:08 | おにぎり: 今日終わりか
15:08 | ステファノ: 回なのに海
15:08 | 黒蝶志穏【こくちょうしおん】: あ
15:08 | 武口龍: 終わったw
15:09 | fish補佐: 回鍋肉って知ってる？
15:09 | ブレブレ01: 貝？！
15:09 | あ、とってもマイルド: 回鍋肉読めなかったのかｗｗ
15:09 | 佐倉なつめ: ファー！！まずいまずい！！
15:09 | ni-hiro: は？
15:09 | まぐ: うん？
15:09 | ケント巣: 終わったか
15:09 | ぼーちゃん: はい、解散
15:09 | トキワ: アカン(アカン)
15:09 | Rio Rio: やばい
15:09 | 櫻井ゆき: 海鮮丼？
15:10 | 釈迦太郎: 日本語からか？
15:10 | さえ(Sae): 英語ペラペラなのに日本語…
15:10 | りちゃん: ？？？？？？？
15:10 | 水桃: お肉がない
15:10 | ひこうタイプのぺんぎん。: おん？？？
15:10 | 無理!!!!: 回(かい)じゃねぇよ！！！！
15:10 | tyohu: おん？
15:11 | 雨日_huruhi: おー
15:11 | zakky: ん～～～
15:11 | Yuru c: 草
15:11 | karasu858: 貝・・・
15:11 | Kom Yam: やしきず・・・すでに絶句か？ｗ
15:11 | やなゆはわ: ん？鍋も肉も消えた？
15:11 | 蘭丹槐: はい解散
15:12 | (Member (1 month)) chinomisa: :_loading::_loading:
15:12 | ∅すてぃっちgames∅: うみ
15:12 | Kawasemi: 回鍋肉だあああああああああああああああああああああああ
15:12 | こんぱる: 海？
15:12 | nari: ｽｰｯ
15:12 | 10kiti じゅーきち: 刺身か？
15:12 | rakugaki 07: 肉すらなかったかー
15:12 | じゅに: 貝ではないｗ
15:14 | (Member (6 months)) kitsune きつねまいにち: :_loading:
