-0:13 | (Member (2 months)) シキマリ: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
14:18 | eio : tskrrrrrrrr
14:18 | ao_hoshiko: helloo~~
14:19 | Kamisato Ayato: helloooooo
14:19 | Ahiru: you're so good
14:19 | ranieee: soooo cuteeeeeee
14:19 | ⭐ SuJin 💤: HELLO MILLIE
14:19 | rockst☆r: tskrrr
14:20 | HIKARI: いきててよかった
14:20 | (New member) すゆう: □□□
14:20 | ぺんぎん: うぐああ...ありがとう...
14:20 | flower　1009: いい人生だった
14:20 | (Member (1 month)) もりもりおまめ: 一瞬たりとも油断出来ないんですが……リラックスとは………………
14:20 | Reikyu _: OMG O M G
14:21 | (New member) Yellish: □□□
14:21 | (Member (1 month)) Corn 2.0 🌽: wAOH
14:21 | Rin: WERE RELAXING :folded_hands::skull::sparkles:
14:21 | willoweve: (//•/-/•//)
14:21 | Chachaiii: Aaaaaaaaaa
14:22 | (Member (2 months)) ichi: tskr
14:22 | (New member) ちゃるちゃるマン: 無理〜しんどい〜:smiling_face_with_tear::sparkles::sparkling_heart:
14:23 | Saw Box 2 Get Thorns: my brain is weakening roflmfao
14:23 | 湘湘💗: I miss you
14:23 | (New member) noname🎭: □□
14:23 | (Member (2 months)) Misa-chanみさ: ohh
14:23 | (Member (2 months)) Nana.___.‪: TSKR
14:23 | Daydream: oootskr
14:23 | vinn: AAAAAA
14:24 | (New member) 사유: AAAAAAAAAAAAAAA
14:24 | Yolan Moulida: I can't hear youu
14:24 | H a n i w a: :orange_heart::orange_heart::orange_heart::orange_heart:
14:24 | dopponico: A S M R
14:24 | (Member (2 months)) NikkisCupATea: yes thank you
14:25 | (Member (1 month)) あやなてやん!: んげぇしぬ
14:25 | megumi: hello i just joined ^^
14:25 | (Member (1 month)) Jo jr: :_AlbanWow::_AlbanWow::_AlbanWow:
14:26 | みみちゃん。: 今日が命日ですね
14:26 | 井拖拖: t s k r
14:26 | (New member) Kaenya: research research research
14:26 | tanimqtamo: my ears ////
14:26 | (Member (2 months)) 🍌🍌荒川Aya: tskr:_AlbanBlessed:
14:26 | Doji: ASMR more like TSKR
14:26 | rockst☆r: :virtualhug::virtualhug:
14:27 | natcha: wear headphone and max volume guys 👍🏼
14:27 | (New member) miru: 泣くことしか出来なくて赤ちゃんnow
14:27 | なとり: 勉強できない
14:27 | 美晴: †┏┛墓┗┓†みんなおいで
14:27 | にこ: tskr
14:27 | (Member (1 month)) mugio[むぎお]: oh
14:28 | (Member (2 months)) yueppi: wow
14:28 | ふぎふぎ: 毛根ないなった...
14:28 | KaitoxGame: Dania
14:28 | Kit Kat: It is!! Hardworking as always tenchou :orange_heart::orange_heart:
14:28 | ▶︎まーにゃ◀︎: こんばんはー
14:29 | ふぶき。: 助かる
14:29 | sunny: you're doing great :red_heart:
14:30 | (Member (2 months)) Keru: It does! :_AlbanBlessed:
14:30 | baekhyun and eggs: MILLIE!!
14:30 | (New member) amyu ⸜ ෆ ⸝‍: やばい□□
14:30 | Tod_.: tskrrr waaa
14:31 | 湘湘💗: I miss you
14:31 | Aoi: who said dic-
14:31 | Srishti S: it really does you're doing amazing
14:32 | Lavender: you're doing amazing!! this is incredible so far 
14:32 | (New member) らむえりー🎭🕒: なみだがとまらない
14:32 | (New member) Louis: □□□
14:32 | (New member) にゃんにゃんこ: □□□
14:32 | BIG TREE: tskr:orange_heart::orange_heart::orange_heart:
14:33 | Uzuen: the deep breath is tskr
14:33 | tobio wooo: TSKRRR
14:33 | mayura: :place_of_worship::place_of_worship::place_of_worship:
14:33 | 暇人です【邪神】: :hugging_face:
14:33 | (Member (2 months)) Kiwa chan: Sounds like my heartbeat
14:33 | Mavy: A...S...M..R ahh music to my ears
14:34 | chlo: TSKRRRRR THIS IS SO GOOD OMG
14:34 | ERICA MAE MORAÑA: I love alban whispering
14:34 | なる: 俺まだ生きてる？
14:34 | (Member (2 months)) たたら: ころころころ
14:34 | (New member) 𝗠𝗶𝘀𝗮♥︎: tskr
14:34 | (Member (2 months)) Misa-chanみさ: LOL
14:35 | Mishi_the_innocent: omg you are so precious i love you :smiling_face_with_hearts:
14:35 | Rin: KORO KOROOO
14:35 | ぁ: 興奮が収まらん
14:35 | d3stinyyz: oho
14:35 | (Member (1 month)) Kairi: リラックスとは…？？？
14:35 | (Member (2 months)) roji: my soul has left my body
14:35 | Foxxxx: コメント出来なくなったら最期
14:35 | Yijhen: TASR!!!!
14:36 | (Member (1 month)) Valice Choco ( ͡°³ ͡°): cuteeeeeeeeeeeeeeeeeeeeeeeeeeee
14:36 | XIAN: korokoro
14:36 | soo: 心臓飛んだあぶな
14:36 | しほこ: かわいい
14:37 | jan🤍: TSKRR
14:37 | _ Haruka: 猫やん
14:37 | (New member) _dwaisy.: TSKRRR
14:37 | Mr Devilish: koro koro!!
14:38 | allusial v: TINGLES ALL THE WAY DAYUM
14:38 | 岩本公美子: Mの言い方えろ........
14:38 | (New member) 사유: KURO KURO
14:38 | Thy: goro goro?
14:38 | (Member (2 months)) McKats: you're doing greattttt!:_AlbanHype::_AlbanHype:
14:38 | rei: KORO KOROOOO
14:39 | Ling Yu_: good boy
14:39 | Dan Chan: TSKR
14:39 | ななな: かわいい:loudly_crying_face:
14:39 | H a n i w a: ('ω')三( ε:)三(,ω,)三(:3 )♡
14:39 | しゅうしゃん: asmrたすかってるよ！！！
14:39 | (New member) SuuMe🌨: LMAOOO
14:40 | (Member (1 month)) mao: ころころ かわいい
14:40 | (New member) *sayapi《さやぴ》: コロコロだけでこんなにもカワイイ
14:40 | Ninaღ にな: :orange_heart::orange_heart::orange_heart:
14:40 | (New member) ねぎねぎ: 今心臓3つくらいないなった
14:40 | Nella: HOLY---- TSKRTSKR
14:40 | (Member (2 months)) mono drama: :_AlbanBlessed:
14:40 | (Member (2 months)) お菓子屋: :_AlbanCry::_AlbanCry::_AlbanCry:
14:40 | (Member (2 months)) まほこ: かわいい
14:41 | HIKARI: ころころ
14:41 | (Member (1 month)) kanae: ころころwwwwwww
14:41 | (Member (2 months)) さき: ころころwwwwwww
14:41 | (Member (2 months)) めかぶちゃん: シンプルにかわいい
14:42 | Mitlein: TSKR awwww
14:42 | (New member) Catto: □□□
14:42 | Sligerate Ai: lmao he wanted to giggle
14:42 | Qlean: whatttttt
14:42 | (Member (1 month)) もえらき: コロコロ？？？
14:42 | Foxxxx: えwwwwwwwwwwww
14:42 | 🥧 Patricia 🎭: ASCENDED :smiling_face_with_halo:
14:42 | はるのん(陽): 心臓ないなる
14:43 | Les: Tskr ~
14:43 | らるん: 墓が立てられん
14:43 | (Member (1 month)) あやなてやん!: コロコロ、、、、
14:43 | (New member) 梶村ゆゆゆ[YUYUYU]: コロコロ
14:43 | lingyin: あああああああ
14:43 | 桃香: ごろごろ〜
14:43 | ルミ: 助かる
14:43 | にこ: :orange_heart::headstone:
14:43 | (Member (2 months)) Mini ⭐️: □□□
14:43 | (Member (2 months)) まめた: □□
14:43 | BunBun: AM I LATE ????
14:44 | Wai: :woozy_face::woozy_face:my brain
14:44 | 埴ちゃん🐈🍯: かわいいいいいいぃ :white_heart:
14:44 | ao_hoshiko: helloo albann, helloo millie
14:44 | LIN: ころころ？
14:44 | (Member (1 month)) MASUMI: ころころ！？
14:44 | (New member) なつめろす: 心臓足りない…心臓足りない…
14:45 | (Member (2 months)) Misa-chanみさ: コミック
14:45 | Sharkie🦈🌱: URGH HELP ME MY HEART GEKSBKXBSKS
14:45 | (Member (2 months)) Reishi🎭🐾: MY EARS HELP
14:45 | Chloe: tskr
14:45 | 湘湘💗: :orange_heart::yellow_heart::orange_heart::yellow_heart::orange_heart::yellow_heart:
14:45 | KaitoxGame: dania
14:46 | (Member (1 month)) Valice Choco ( ͡°³ ͡°): kawaiiii huhu ALBANNN
14:46 | ioy w: tskkkrrrrrrrr
14:46 | (Member (2 months)) お菓子屋: ありがとうありがとう
14:46 | w: KOROKORO LMAO
14:46 | (Member (2 months)) Naga: :_AlbanBlessed:
14:46 | かの花: ごろごろごろねこちゃん:orange_heart:
14:46 | Sakura.: Cute 
14:46 | 青りんご(Aya): 後ろの水の音？めっちゃすき
14:46 | (Member (1 month)) もりもりおまめ: ころころ^〜〜〜〜
14:46 | tanimqtamo: tskrrr
14:47 | d3stinyyz: TSKRR
14:47 | 美晴: 意味わかんないwww好きwww
14:47 | Likka六花: 墓が通りますよっと
14:47 | (Member (1 month)) ALISA🥀🌙: :_AlbanBlessed::_AlbanBlessed:
14:48 | LTW owo: this making me feel sleepy now
14:48 | (Member (2 months)) Lapis: omg
14:48 | lemon: TSKR!!!!!!!!
14:48 | Thy: LOL
14:48 | Wonderful: TSKRRR 
14:49 | Kit Kat: THATS OUT TENCHOU ALWAYS HARDWORKING!!
14:49 | moyiyi: :smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo:
14:49 | ささ: しぬ…
14:49 | Qlean: coteeeeee
14:49 | ねむ_: ｱ"ｱ"ｱ"ｱ"ｱ"
14:49 | (New member) あむ。amu: cuteeeeeeee
14:49 | naru! ◡̈ - ohdvdee: where patrick’s asmr
14:49 | (New member) nyeldei: yes. YES. 
14:50 | jan🤍: KORO KOROOO
14:50 | Rin: KORO KORO :face_with_rolling_eyes::clapping_hands:
14:50 | (Member (2 months)) えいりちゃんEiri-chan: ころころ
14:50 | 凛: たまに出る日本語がしんどすぎてダメだわ、、、、、、:smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo:
14:50 | 🌸Samantha: :orange_heart::orange_heart::orange_heart:
14:50 | (New member) §ℍ𝕖𝕚§: TSKRRRRRRRRRRRRRR
14:51 | Foxxxx: Wwwwwwwwwwww
14:51 | Ff U: Haha
14:51 | H a n i w a: ('ω')三( ε:)三(,ω,)三(:3 )♡
14:51 | (New member) FREEDOM五条: 転がされてる……
14:52 | (Member (2 months)) roji: TSKR
14:52 | Hey TY: gonna fall asleep
14:52 | (Member (2 months)) ゆぱちゃん_Yupa-chan: 擬音tskr
14:52 | おくら: ころころかわいい
14:52 | Harmaliah Bober: CHAT IS GOINGCRAZYZYZYYZYZYZY
14:52 | Joku: AAAAA "
14:52 | なる: かわいいい
14:52 | Saw Box 2 Get Thorns: bb boy ur voice is taking over my head
14:53 | (Member (1 month)) ぐだ: いい人生だった....
14:53 | (Member (2 months)) 夜雪 ye xue: □□□
14:53 | Qing: ころころ
14:53 | (Member (2 months)) tarorobun: my brain rn holy moly
14:53 | Nazuka Sumire: OMG… tskr
14:53 | (Member (1 month)) あさぎり: ないてる
14:53 | ぬるで: コロコロwwwwww
14:53 | もどき_modoki: LMAO
14:53 | kanishka: :orange_heart::orange_heart::orange_heart:
14:54 | (New member) ゆん: デュフ笑いしてしまう　たすけて　人権がないなってく
14:54 | Lei: woah this is so freaking relaxing
14:54 | hong ye: :heart_with_arrow::heart_with_arrow:
14:54 | KaitoxGame: dania
14:55 | Ninaღ にな: TSKRR 
14:55 | (Member (1 month)) み。: こ、ころころ
14:55 | (Member (2 months)) Misa-chanみさ: コロコロ コミック
14:55 | (New member) ねぎねぎ: korokoro
14:55 | (Member (1 month)) Maliciousli 🧸: im melting,, :_AlbanWhat:
14:55 | Cyprinus.: tskr
14:55 | Shuzume: tskrrr
14:55 | (Member (2 months)) Teresa: :_AlbanCry::_AlbanCry:
14:56 | 柚木Yuno: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
14:56 | rayne🪄: hi millieeeeeeeeeeee
14:56 | (Member (2 months)) あさ: LMAO
14:56 | _ことね_: コロコロ
14:57 | (Member (1 month)) ちーちゃん: ころころころころ
14:57 | (Member (1 month)) もえらき: □□□
14:57 | 美晴: わけわけめ
14:57 | (Member (1 month)) Yam -ヤム: □□□
14:57 | (Member (1 month)) Mayra : :_AlbanBlessed:
14:57 | Red: TSKR
14:57 | Camila Velasquez: CUTE
14:57 | みきちゃん(miki chan): ころころ
14:58 | (Member (2 months)) Mini ⭐️: □□□
14:58 | (Member (2 months)) たたら: 我が人生に悔いなし
14:58 | しののめ.: コロコロって何？www
14:58 | maichi: ころころかわいい
14:58 | yayeyayeyaahahah: GOROGOROGOROGOROGOROGORO
14:59 | Foxxxx: どうしてwwwwwwwwwwww
14:59 | (Member (2 months)) gyuutanぎゅうたん!: ねこちゃんかな
14:59 | なる: 転がってる、、
14:59 | Kaya Yee: that makes me really sleepy
14:59 | 海雲(みくも)れむ: ころころしぬｗｗｗｗｗｗｗ
15:00 | rei: ARGH AAAAAAAAAAAAAAAAAAA :ring::ring::ring::ring::ring::ring::ring::ring::ring:
15:00 | kiki Palembang: AYO MNKH:ring::ring::ring:
15:00 | Ruka: Helpppp why am I laughing at thisss ahhhh
15:00 | Its Acchi: TSKR
15:00 | (Member (2 months)) freckle: TSKR
15:00 | (Member (2 months)) moe: very cute、、、、、□
15:00 | Irene'ᵛ': Sorry is this heaven?
15:00 | (Member (2 months)) bosatsu_chan: コミック…
15:00 | (New member) らむえりー🎭🕒: please ambulance 
15:00 | Mone M: やばwwww
15:00 | ▶︎まーにゃ◀︎: ころころ
15:00 | ホタル Hotaru: TSKRTSKRTSKR
15:00 | (Member (1 month)) Valice Choco ( ͡°³ ͡°): holy....
15:00 | cheese: im ascending to the celestial planes
15:00 | (New member) SuuMe🌨: REAL CAT
15:01 | sunsea: OMG
15:01 | (New member) 夜子: □□□
15:01 | 賴安: cuteeee
15:01 | (Member (2 months)) さき: ゴロゴロ？ころころ？
15:02 | ふぶき。: かわいい
15:02 | Elo Qoe: just got here what is happening haha
15:02 | にこ: cuuuute:smiling_face_with_tear::sparkling_heart:
15:02 | Sūkikyō no inu: mad this to good
15:02 | Rin: I WANNA BE YOUR MEMBER :pensive_face::sparkles::folded_hands::folded_hands::folded_hands:
15:02 | Nix: TSKR
15:03 | H a n i w a: ('ω')三( ε:)三(,ω,)三(:3 )♡
15:03 | w: WWWWWWWWWWWWWWWWWWWWWWWWW
15:03 | (Member (2 months)) Ace 【FulltimeTakaradachi】: IT DID SOUND LIKE D*CK NGL IM CRYING
15:03 | Alejandrina Castillejo: I think i might fall asleep
15:04 | (Member (2 months)) Keru: ころころ　可愛い:_AlbanBlessed:
15:04 | KuroiTenshi : YEEEES LIKE THIS! AMAZING
15:04 | ぁ: ひああかわいい
15:04 | (New member) さや: tskr
15:04 | *カルディア: かわいい
15:04 | Zelera Winters: koro xD
15:04 | (New member) Asunaa≧ω≦: Wahhh 
15:04 | (Member (1 month)) あやなてやん!: えっとしにます
15:04 | 硯: かわいい
15:04 | (New member) Kuro ★: □□□
15:04 | (New member) しおにゃ: ころころ…………？すき…………
15:04 | Ysy • (Easy): ころころ
15:04 | (Member (2 months)) お菓子屋: かわいい
15:04 | SHARKBAIT : :orange_heart::orange_heart::orange_heart::orange_heart:
15:05 | (Member (2 months)) Kait Zitt: □□
15:05 | 親子丼 No.49: あーーー、うちの回線頑張ってくれ！！！
15:05 | (New member) ほのさん: 声の奥（？）でポコポコなってるのすきすぎてむりみんなに伝わって、、
15:05 | 虛凌XuLing: My good boy
15:05 | Luck: KORO KOROO
15:05 | (Member (1 month)) mao: コミックやめてwww
15:06 | (New member) *sayapi《さやぴ》: 世界一かわいい
15:06 | puipui: コロコロコミックしぬｗｗ
15:07 | (Member (1 month)) あさぎり: コロコロ　コミック
15:07 | sunsea: NANI NANI
15:07 | (Member (1 month)) Corn 2.0 🌽: :_AlbanWhat::_AlbanWhat::_AlbanWhat:
15:07 | ねむ_: ころころか"わ"い"い"
15:07 | rayne🪄: hi millieeeee
15:07 | Akiryu Vel: tskr......
15:07 | akanzxp: my heart
15:07 | (New member) noname🎭: MY EARS BLESSED:_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
15:07 | Erin: This is so nice :smiling_face_with_tear: I wish it was time for bed
15:07 | Starry: Yessss
15:08 | なとり: ｺﾛｺﾛ
15:08 | (Member (1 month)) Himawari🌻ニャ!!: TSKR
15:08 | (New member) いぬぽぽん: ころころ！？！
15:08 | チア: Kawaiiiii omg
15:08 | 汪(੭ु`;ω;´)੭ु: actually well prepared LOVE YOU :orange_heart::orange_heart:
15:09 | 暇人です【邪神】: 猫ちゃんかな？(*^^*)
15:09 | 湘湘💗: I miss you
15:09 | Salfa: OMG I CAN'T, TSKR TSKR
15:09 | wei: ahhh i love you
15:09 | kaashji: gorou gorou gorou 
15:09 | Ran: OH SHYT
15:09 | ゆき: かわ
15:10 | (Member (2 months)) Nana.___.‪: ころころ
15:10 | しゅうしゃん: ごろごろ………かわいいねえええええ…
15:10 | Sligerate Ai: save me 
15:11 | (Member (1 month)) ちーちゃん: ('ω')三( ε:)三(,ω,)三(:3 )♡
15:11 | jayann: TSKRRR
15:11 | ゆね: バックハグされてるみたい…たすけて…すき！！！！
15:11 | 林恩瑄: omg!!so cute!!!!!
15:12 | 美晴: すきすぎる(*´³`*) ㄘゅ:two_hearts:
15:12 | もどき_modoki: so cute
15:12 | Ako Nori: Bye guys I’m goin to sleep
15:12 | ひにょもにょ: ころころかわいい:loudly_crying_face:
15:12 | Kira Kookie「Grimoire」: ころころ
15:12 | (Member (1 month)) Valice Choco ( ͡°³ ͡°): im going crazyyy huhuhu
15:12 | (Member (1 month)) ALISA🥀🌙: Oh my god:_AlbanBlessed:
15:12 | (Member (2 months)) Mini ⭐️: ahhhh i love this stream
15:12 | しゅまり: かわいいいい
15:13 | Foxxxx: コミックやめてwwwwww
15:13 | eggchicken: God
15:13 | 岩本公美子: 転がりたくなってきた
15:13 | らむ: にゃんにゃんもぜひ、、、、、、
15:13 | (Member (2 months)) Rainbrowz: □:_AlbanBlessed:
15:13 | ぬん: 手のひらで転がされてるってわけね
15:13 | (New member) らむえりー🎭🕒: I'm about to enter the grave 
15:14 | りん: みんな無事？
15:14 | (New member) MiaMia: かわいい。
15:14 | Suzune: I really enjoy it, Alban you’re doing great :orange_heart:
15:14 | (Member (2 months)) Kiwa chan: tskr
15:14 | 冉: tskr
15:14 | 虛凌XuLing: :orange_heart::orange_heart::orange_heart:
15:14 | 漆ゐ: アルバーン君可愛い
15:14 | (New member) amyu ⸜ ෆ ⸝‍: ぎゃ〜
15:14 | 蓓: TSKRrrrrrr
15:14 | weiwei: i rly love this aaaaa
15:14 | k4🌱: TSKR
15:14 | Skr. Chan: korokoro
15:14 | (Member (2 months)) ろく: これはリラックスどころじゃない
15:15 | 明日子: ┏┛墓┗┓‐ω‐)っ無事しんだ
15:15 | (New member) らむたちゃん: ねこちゃんかな、、、
15:15 | isui: Soooooooo cute
15:15 | ささ: コロコロされてぇ
15:16 | Suspicious Goose: we‘re :sparkles:ascending:sparkles: 
15:16 | esis: lets go?!
15:16 | (Member (2 months)) CristalFlower: :orange_heart::orange_heart::orange_heart:
15:16 | BIG TREE: tskr:orange_heart::orange_heart::orange_heart::orange_heart:
15:16 | 郭寶 Aggie: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
15:17 | (New member) リーシャ: リラックスできません
15:17 | (New member) lifeon: □□□
15:17 | Yijhen: Koro koro 
15:17 | sukikiko_: tskr
15:18 | H a n i w a: 転がされる運命か…
15:18 | 松野一七: :smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo:
15:18 | (Member (1 month)) Karma: Kolokolo
15:18 | Y.: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
15:18 | (New member) Naaa_.ナナ: :_AlbanSleep::_AlbanSleep::_AlbanSleep::_AlbanSleep:
15:19 | JaneNinth: thank you alban :loudly_crying_face: 
15:19 | (New member) Winter Draconia: Alban you're always doing your best & we appreciate that □□□
15:19 | (Member (2 months)) Artistic Being: Omg help me....he's so good at this
15:20 | ピピ: TSKR …I think?
15:20 | sunsea: WTFFFF MY HEART
15:20 | (New member) Cuddle: □□
15:20 | beam: tskr
15:20 | wei: i locey you
15:21 | 刘靖Emma: wow tskr
15:21 | ラウリル: 画面暗くしてるの配慮すご
15:23 | (New member) 玉露 Gyokuro: ころころよく分かんないけど日本語たすかる…:_AlbanCry:
15:23 | Dora The Explorer: tskr
15:24 | lemon: LMAOOOOOOOOO
15:24 | CZ DELTA: TSKRRRRR
15:24 | チア: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
15:24 | 明日子: :smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
15:24 | 虛凌XuLing: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
15:25 | (New member) しょこらんぬSyoko-rannu: レンボースパやってみたくなるやん…！！
15:25 | (Member (2 months)) Mini ⭐️: yeeees tapping
15:25 | w: alban w
15:26 | Honeybee Ami: I JUST JOINED HELP OMG
15:26 | (New member) しおにゃ: よくわかんないけど可愛いから好き…………
15:26 | _ Haruka: ねこちゃん…:grinning_cat:
15:26 | Princess Ashley: Hey Alban ru ok
15:27 | sunsea: KYAAAAAAAAAAAA
15:27 | (New member) Reppepmint: I’ll be right back real quick!!!
15:27 | (New member) Cuddle: :_AlbanBlessed::_AlbanBlessed:
15:27 | (New member) FREEDOM五条: 転がされる人生
15:28 | _あやか: かわいいむり
15:29 | naru! ◡̈ - ohdvdee: patrick’s asmr when
15:30 | Sheeta: ko-ko-kokoro owo??
15:30 | Lunar: :orange_heart::orange_heart::orange_heart:
15:30 | 舜shunli: tskr
15:30 | (New member) あむ。amu: コロコロコミックは草
15:31 | (Member (1 month)) ぐだ: かわいい...
15:31 | Starry: This is really good asmr
15:32 | tanimqtamo: uwaaaaa
15:32 | たまき: ひえかわいい
15:32 | (New member) YUNA chan: ころころされすぎてだんごになっちゃった
15:32 | (Member (2 months)) Ryou: □□□
15:32 | (Member (1 month)) イロハ: とってもかわいい□□□
15:32 | (Member (2 months)) mono drama: ALBAN'S SUBS AFTER THIS :chart_increasing::chart_increasing::chart_increasing::chart_increasing:
15:32 | (New member) Arukine: □
15:32 | d3stinyyz: TSKRRRRR
15:33 | U-san最高🤍💙: konokono
15:33 | wen hui: ahhh
15:34 | (New member) cyan: TSKR
15:34 | (Member (1 month)) aki rabi: たすかる…たすかる…たすからない…
15:34 | (Member (2 months)) Peanut 🦋 Konbini Crew Cashier: You're really good at this
15:34 | Rei ♪: Alban your voice was already ASMR enough before :orange_heart:
15:34 | (Member (1 month)) chinghoon靖勳🎭🔗: tskr
15:34 | (New member) Serene_w: □□□
15:34 | (New member) ゆん: whoaaaaaaaaaaaaaaaaaaa
15:35 | (Member (1 month)) SuiSui39: :_AlbanNya::_AlbanNya:
15:36 | (Member (2 months)) Nana.___.‪: TSKR
15:36 | (Member (2 months)) Naga: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
15:36 | soo: いや寝られへんやん……
15:36 | (Member (2 months)) roji: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
15:36 | 제레: 안녕 알반
15:37 | Liya: Милашкааа:place_of_worship::orange_heart:
15:37 | Aoi: OMGG
15:37 | natcha: Its perfect 🤟🏼
15:37 | Nur Wasilatun: another day another slayyyy:eye::mouth::eye::nail_polish:
15:37 | b L u E: TSKR:orange_heart:
15:37 | (New member) 🎀 Lyrit 🎀: Oh ooHh-
15:37 | にこ: :smiling_face_with_tear::sparkling_heart:👍🏻
15:38 | LuvTheseStuff: That's niceeeeee
15:38 | (Member (2 months)) Teresa: ohhhhhhh:_AlbanCry:
15:38 | SHARKBAIT : :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
15:38 | (Member (2 months)) blue cherry: oh my god
15:38 | rai ☆: :O
15:38 | KuroRen: Tskr. I'm gonna have a good sleep now
15:38 | 冉: tskr....
15:39 | Chifu: TAPPING TSKRR AAA
15:39 | (New member) Altalm: Awwwwwwww
15:39 | Thy: LOL WHAT THAT SOUND????
15:39 | (New member) FREEDOM五条: うわぁいい音
15:39 | らむ: めちゃくちゃちゃんとASMRじゃんすごい
15:40 | SGL: TSKR TSKR TSKR
15:40 | (Member (2 months)) Mini ⭐️: ahhhhhh i love it sm
15:40 | MoNo: 良き！！！
15:40 | 狗拿_浩子: omg I’m gonna cryy 🥹tskr
15:40 | Yoyo Liao: TSKR
15:41 | lingyin: tskrrrr
15:41 | かの花: 気持ちよすぎる！！
15:42 | HirabikiVR: tskr
15:42 | Mr Devilish: cat scratching tskr lololol
15:42 | (New member) らむえりー🎭🕒: ogyaogyaしちゃう
15:42 | (Member (2 months)) 🐣poinkk🎭: □□□
15:43 | 岩本公美子: 躾けられてる?犬みたいにお腹見せてコロコロしたほうがいい?
15:43 | (-fandomartss-): ooh thats nice
15:43 | weiwei: sksksksksks
15:43 | (Member (1 month)) Valice Choco ( ͡°³ ͡°): its tckling....
15:43 | (Member (1 month)) ぐだ: tskr
15:43 | 美晴: なに(◍꒪꒳꒪◍)՞(◍꒪꒳꒪◍)՞
15:44 | Shynra-sa: eh? why is it so dim?
15:44 | autumn: TSKRRRRR
15:44 | Ff U: Cuteeee
15:44 | mayura: SO GOOOD WHAAAAAAA
15:44 | (New member) ねぎねぎ: 耳がきもちいい
15:45 | Starry: TAPPING YESSS
15:45 | 十一: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
15:45 | (New member) Altalm: Real catttt
15:45 | (Member (1 month)) Maliciousli 🧸: AAAAAAA 
15:46 | juni: i am tingly af
15:46 | (Member (1 month)) Yam -ヤム: oh my god
15:46 | maichi: tskr
15:46 | Lynt 🌱: Wahhhhhhh~~
15:47 | ななな: ああああたすかる
15:47 | rei: TSKR TAPPING SOUNDS TSKR :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
15:47 | 凛: タッピング良い！
15:48 | (Member (2 months)) Keru: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
15:48 | BunBun: TSKR
15:48 | (New member) 사유: OH
15:48 | Aoi: so relax omg
15:48 | (Member (2 months)) CristalFlower: tskr
15:48 | sunsea: im me my heart isnt prepared yet
15:48 | (Member (1 month)) Himawari🌻ニャ!!: :_AlbanBlessed::_AlbanBlessed:
15:48 | saki-chan💫💜: WHO SAID PATRICK ASMR
15:49 | らむ: 一生聞き続ける
15:49 | ran ran: TSKR
15:49 | (Member (2 months)) blue cherry: :_AlbanBlessed::_AlbanBlessed:
15:49 | KuroiTenshi : THIS IS SO GOOD TSKR
15:50 | あじふらい: :racehorse::racehorse:
15:50 | naru! ◡̈ - ohdvdee: THIS SOUNDS SO SATISFYING 
15:50 | Mixz: Kyaaaaaa
15:50 | Altoire Zuno: aww
15:50 | (Member (1 month)) Sakikö🍅: □□□
15:51 | (New member) FREEDOM五条: 良い音:smiling_face_with_heart_eyes:
15:51 | -Gh0st-: I just woke up but i'm 100% ready to go back to sleep
15:51 | Chachaiii: ohhh
15:51 | MoNo: めっちゃ良い
15:51 | (New member) 梶村ゆゆゆ[YUYUYU]: 手のひらでころころされてたんかな
15:52 | (Member (1 month)) あやなてやん!: んげぇ、、、、、、
15:52 | Srishti S: oh my god that's really good!
15:52 | Kira Kookie「Grimoire」: omg its so good
15:52 | (New member) にとろ: かわいすぎてたすからない:_AlbanCry:
15:52 | Kohi: :buffering::buffering::buffering:
15:52 | ao_hoshiko: its like going through a field of horses
15:52 | Erin: Tskr, so nice
15:53 | (Member (1 month)) Yam -ヤム: TSKR
15:53 | たまき: 命日だ
15:53 | ホタル Hotaru: よい！！！！
15:53 | Onion Cheeks: CUTE
15:53 | (Member (2 months)) Mini ⭐️: □□□
15:53 | willoweve: tskr (//•/-/•//)
15:53 | Ava Cage: you scratching a cat post rn?
15:54 | keiii: ah yes the :sparkles:tapping:sparkles:
15:54 | owa owa: tskr！！！！！
15:55 | (Member (2 months)) Jichi: TSKR
